time_period,time_identifier,geographic_level,country_code,country_name,region_code_origin,region_name_origin,YAG,sex,mature,selective_status,FSM,POLAR4,migration1,migration2,grads,grads_uk,unmatched_percent,overseas_percent,matched,prop_overall
202122,Tax year,National,K02000001,United Kingdom,Total,Total,1 YAG,Female + male,0,Total,Total,Total,Total,Total,223930,222020,0,0.853395114793031,222020,100
202122,Tax year,National,K02000001,United Kingdom,Total,Total,3 YAG,Female + male,0,Total,Total,Total,Total,Total,225020,221375,0,1.6198668109511,221375,100
202122,Tax year,National,K02000001,United Kingdom,Total,Total,5 YAG,Female + male,0,Total,Total,Total,Total,Total,210060,205800,0,2.02797269377612,205800,100
202122,Tax year,National,K02000001,United Kingdom,Total,Total,10 YAG,Female + male,0,Total,Total,Total,Total,Total,186665,180890,0,3.09429676534559,180890,100
202122,Tax year,National,K02000001,United Kingdom,Total,Total,1 YAG,Female + male,0,Total,Total,Total,Left home region to study,Total,131845,130510,0,1.01180950069401,130510,58.8
202122,Tax year,National,K02000001,United Kingdom,Total,Total,1 YAG,Female + male,0,Total,Total,Total,Stayed in home region to study,Total,92085,91510,0,0.626587508863987,91510,41.2
202122,Tax year,National,K02000001,United Kingdom,Total,Total,3 YAG,Female + male,0,Total,Total,Total,Left home region to study,Total,134205,131700,0,1.86800986535725,131700,59.5
202122,Tax year,National,K02000001,United Kingdom,Total,Total,3 YAG,Female + male,0,Total,Total,Total,Stayed in home region to study,Total,90810,89675,0,1.25314525142741,89675,40.5
202122,Tax year,National,K02000001,United Kingdom,Total,Total,5 YAG,Female + male,0,Total,Total,Total,Left home region to study,Total,123970,121045,0,2.35865417967395,121045,58.8
202122,Tax year,National,K02000001,United Kingdom,Total,Total,5 YAG,Female + male,0,Total,Total,Total,Stayed in home region to study,Total,86095,84755,0,1.55181025170455,84755,41.2
202122,Tax year,National,K02000001,United Kingdom,Total,Total,10 YAG,Female + male,0,Total,Total,Total,Left home region to study,Total,106800,102835,0,3.71161048689139,102835,56.8
202122,Tax year,National,K02000001,United Kingdom,Total,Total,10 YAG,Female + male,0,Total,Total,Total,Stayed in home region to study,Total,79865,78055,0,2.26880024040267,78055,43.2
202122,Tax year,National,K02000001,United Kingdom,Total,Total,1 YAG,Female + male,0,Total,Total,Total,Left home region to study,Currently in home region,98605,97705,0,0.912732620049693,97705,44
202122,Tax year,National,K02000001,United Kingdom,Total,Total,1 YAG,Female + male,0,Total,Total,Total,Stayed in home region to study,Currently in home/study region,87095,86615,0,0.548837967646117,86615,39
202122,Tax year,National,K02000001,United Kingdom,Total,Total,3 YAG,Female + male,0,Total,Total,Total,Left home region to study,Currently in home region,89155,87680,0,1.65662819520621,87680,39.6
202122,Tax year,National,K02000001,United Kingdom,Total,Total,3 YAG,Female + male,0,Total,Total,Total,Stayed in home region to study,Currently in home/study region,81240,80405,0,1.03026162737025,80405,36.3
202122,Tax year,National,K02000001,United Kingdom,Total,Total,5 YAG,Female + male,0,Total,Total,Total,Left home region to study,Currently in home region,75795,74435,0,1.79301791698551,74435,36.2
202122,Tax year,National,K02000001,United Kingdom,Total,Total,5 YAG,Female + male,0,Total,Total,Total,Stayed in home region to study,Currently in home/study region,73710,72920,0,1.07446649753768,72920,35.4
202122,Tax year,National,K02000001,United Kingdom,Total,Total,10 YAG,Female + male,0,Total,Total,Total,Left home region to study,Currently in home region,58140,57430,0,1.22123224053115,57430,31.7
202122,Tax year,National,K02000001,United Kingdom,Total,Total,10 YAG,Female + male,0,Total,Total,Total,Stayed in home region to study,Currently in home/study region,63410,62935,0,0.750682079830939,62935,34.8
202122,Tax year,National,K02000001,United Kingdom,Total,Total,1 YAG,Female + male,0,Total,Total,Total,Left home region to study,Currently in study region,21680,21460,0,1.01466654367678,21460,9.7
202122,Tax year,National,K02000001,United Kingdom,Total,Total,3 YAG,Female + male,0,Total,Total,Total,Left home region to study,Currently in study region,22135,21805,0,1.49071689930885,21805,9.9
