time_period,time_identifier,geographic_level,country_code,country_name,academic_year,YAG,sex,country_of_domicile,country_of_domicile_grouped,qualification_level,grads,grads_uk,unmatched_percent,overseas_percent,matched,activity_not_captured,no_sust_dest,sust_emp_only,sust_emp_with_or_without_fs,sust_emp_fs_or_both,fs_with_or_without_sust_emp,earnings_include,earnings_LQ,earnings_median,earnings_UQ
201516,Tax year,National,K02000001,United Kingdom,2009/2010,5 YAG,Female + male,United Arab Emirates,Non-EU,First-degree,375,365,63.5,1.6,135,18,2.2,9.3,10.9,16.3,7.1,30,22700,28900,48700
201516,Tax year,National,K02000001,United Kingdom,2009/2010,5 YAG,Female + male,Bulgaria,EU,First-degree,270,260,23.6,4.4,200,16.2,3.5,50.2,54.8,56.8,6.6,125,21500,31100,44800
201516,Tax year,National,K02000001,United Kingdom,2009/2010,5 YAG,Female + male,China,Non-EU,First-degree,7530,7455,65.8,1,2550,25,1.1,5.5,6.5,8.1,2.6,365,14500,26400,39300
201516,Tax year,National,K02000001,United Kingdom,2009/2010,5 YAG,Female + male,Cyprus,EU,First-degree,1930,1885,66,2.2,640,12.1,2.6,13.9,17,19.3,5.4,255,23100,30700,47200
201516,Tax year,National,K02000001,United Kingdom,2009/2010,5 YAG,Female + male,Germany,EU,First-degree,1980,1860,55.8,6,820,19.6,2.3,16,19.8,22.3,6.3,275,22000,30600,45400
201516,Tax year,National,K02000001,United Kingdom,2009/2010,5 YAG,Female + male,Spain,EU,First-degree,610,575,43.5,5.7,325,22.3,3.5,25.7,28.9,30.8,5,135,20100,26700,38400
201516,Tax year,National,K02000001,United Kingdom,2009/2010,5 YAG,Female + male,France,EU,First-degree,2260,2155,53.5,4.6,1000,22.7,2.4,17.6,20.1,21.4,3.8,350,20100,28500,39900
201516,Tax year,National,K02000001,United Kingdom,2009/2010,5 YAG,Female + male,Greece,EU,First-degree,1000,985,49.8,1.8,495,18.3,3,20.6,24.9,28.9,8.2,190,19000,28000,37800
201516,Tax year,National,K02000001,United Kingdom,2009/2010,5 YAG,Female + male,Hong Kong,Non-EU,First-degree,2025,1970,65.3,2.7,685,21.5,1.3,9.5,10.9,11.9,2.4,180,23100,31100,47900
201516,Tax year,National,K02000001,United Kingdom,2009/2010,5 YAG,Female + male,India,Non-EU,First-degree,1360,1270,28.7,6.4,905,43.8,3,19.4,22.8,24.5,5,220,19000,28400,41400
