time_period,time_identifier,geographic_level,country_code,country_name,academic_year,YAG,qualification_level,country_of_domicile_grouped,subject_name,grads,grads_uk,earnings_include,earnings_LQ,earnings_median,earnings_UQ,earnings_LQ_RTE,earnings_median_RTE,earnings_UQ_RTE
201516,Tax year,National,K02000001,United Kingdom,2004/2005,10 YAG,First-degree,UK,Total,222895,215100,155260,19000,30400,42100,19000,30400,42100
201516,Tax year,National,K02000001,United Kingdom,2004/2005,10 YAG,Level 7 (research),UK,Total,1510,1440,870,22300,35500,48700,22300,35500,48700
201516,Tax year,National,K02000001,United Kingdom,2004/2005,10 YAG,Level 7 (taught),UK,Total,93685,89840,59130,19800,34000,45800,19800,34000,45800
201516,Tax year,National,K02000001,United Kingdom,2004/2005,10 YAG,Level 8,UK,Total,7730,7300,4655,28900,42100,55600,28900,42100,55600
201516,Tax year,National,K02000001,United Kingdom,2009/2010,5 YAG,First-degree,UK,Total,253445,246635,179315,17900,25600,33700,17900,25600,33700
201516,Tax year,National,K02000001,United Kingdom,2009/2010,5 YAG,Level 7 (research),UK,Total,1515,1445,860,21600,31800,42500,21600,31800,42500
201516,Tax year,National,K02000001,United Kingdom,2009/2010,5 YAG,Level 7 (taught),UK,Total,97735,94580,64635,21200,31100,41400,21200,31100,41400
201516,Tax year,National,K02000001,United Kingdom,2009/2010,5 YAG,Level 8,UK,Total,8575,8105,5580,27300,36600,46800,27300,36600,46800
201516,Tax year,National,K02000001,United Kingdom,2011/2012,3 YAG,First-degree,UK,Total,279330,273070,194390,16500,22700,29300,16500,22700,29300
201516,Tax year,National,K02000001,United Kingdom,2011/2012,3 YAG,Level 7 (research),UK,Total,2040,1960,885,20200,30000,40300,20200,30000,40300
201516,Tax year,National,K02000001,United Kingdom,2011/2012,3 YAG,Level 7 (taught),UK,Total,106605,103780,69955,21200,28900,39200,21200,28900,39200
201516,Tax year,National,K02000001,United Kingdom,2011/2012,3 YAG,Level 8,UK,Total,8990,8540,5820,26700,34400,42800,26700,34400,42800
